,at_air_won,at_air_won_perc,at_att_combination,at_contr_att,at_corner,at_cross,at_drible,at_drible_suc,at_fouls,at_goals,at_id,at_key_passes,at_name,at_otbor,at_otbor_perc,at_own_goal,at_pass_long,at_pass_short,at_pass_vrazrez,at_passes_acc,at_passes_in_row_avg,at_penalty,at_possession,at_shot_blocked,at_shot_in_target,at_shot_miss,at_stand_pol,at_steal,at_touches,at_vinos,at_wc_rating_avg,ht_air_won,ht_air_won_perc,ht_att_combination,ht_contr_att,ht_corner,ht_cross,ht_drible,ht_drible_suc,ht_fouls,ht_goals,ht_id,ht_key_passes,ht_name,ht_otbor,ht_otbor_perc,ht_own_goal,ht_pass_long,ht_pass_short,ht_pass_vrazrez,ht_passes_acc,ht_passes_in_row_avg,ht_penalty,ht_possession,ht_shot_blocked,ht_shot_in_target,ht_shot_miss,ht_stand_pol,ht_steal,ht_touches,ht_vinos,ht_wc_rating_avg,link,match_date,match_id,season
0,17,0.5900000000000001,12.0,0.0,5,17.0,6,60,12.0,0.0,276,13,Наполи,16,57,0.0,34.0,495.0,1.0,84,5.0,0.0,60.9,6,3,7,4.0,15,727,15,6.74,12,0.41,6.0,0.0,4,18.0,12,52,11.0,0.0,72,8,Торино,19,76,0.0,68.0,266.0,0.0,75,4.0,0.0,39.1,3,4,5,6.0,14,546,19,6.86,https://ru.whoscored.com/Matches/1415762/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%A2%D0%BE%D1%80%D0%B8%D0%BD%D0%BE-%D0%9D%D0%B0%D0%BF%D0%BE%D0%BB%D0%B8,2019-10-6,1415762,2019/2020
0,18,0.5,8.0,0.0,9,18.0,4,50,16.0,0.0,73,12,Фиорентина,15,79,0.0,71.0,394.0,1.0,78,4.0,0.0,54.9,4,4,5,5.0,15,651,12,6.68,18,0.5,0.0,0.0,6,15.0,4,40,10.0,0.0,144,2,Брешиа,13,76,0.0,57.0,326.0,1.0,70,4.0,0.0,45.1,0,1,2,3.0,11,559,20,6.68,https://ru.whoscored.com/Matches/1415763/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%91%D1%80%D0%B5%D1%88%D0%B8%D0%B0-%D0%A4%D0%B8%D0%BE%D1%80%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0,2019-10-21,1415763,2019/2020
0,14,0.47,6.0,0.0,6,22.0,7,54,15.0,0.0,1502,10,Спал,14,61,0.0,54.0,380.0,0.0,84,5.0,0.0,57.1,3,5,4,6.0,5,601,15,6.32,16,0.53,11.0,0.0,6,23.0,9,60,17.0,2.0,78,11,Кальяри,15,68,0.0,49.0,269.0,0.0,80,4.0,0.0,42.9,2,5,9,5.0,8,502,20,7.09,https://ru.whoscored.com/Matches/1415764/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%9A%D0%B0%D0%BB%D1%8C%D1%8F%D1%80%D0%B8-%D0%A1%D0%BF%D0%B0%D0%BB,2019-10-20,1415764,2019/2020
0,7,0.44,5.0,1.0,5,18.0,10,63,18.0,1.0,71,5,Болонья,14,64,0.0,43.0,286.0,0.0,83,4.0,0.0,35.2,3,2,4,3.0,17,518,29,6.64,9,0.56,18.0,1.0,8,24.0,8,53,15.0,2.0,87,17,Ювентус,13,57,0.0,52.0,558.0,0.0,89,6.0,0.0,64.8,9,10,4,4.0,6,779,16,6.86,https://ru.whoscored.com/Matches/1415765/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%AE%D0%B2%D0%B5%D0%BD%D1%82%D1%83%D1%81-%D0%91%D0%BE%D0%BB%D0%BE%D0%BD%D1%8C%D1%8F,2019-10-19,1415765,2019/2020
0,15,0.44,17.0,1.0,1,5.0,11,58,12.0,3.0,300,17,Аталанта,16,59,0.0,68.0,428.0,0.0,79,4.0,0.0,49.4,4,9,9,4.0,17,698,16,6.81,19,0.56,13.0,1.0,3,16.0,11,58,16.0,3.0,77,13,Лацио,18,62,0.0,63.0,431.0,2.0,77,4.0,2.0,50.6,3,5,9,1.0,11,675,7,6.72,https://ru.whoscored.com/Matches/1415766/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%9B%D0%B0%D1%86%D0%B8%D0%BE-%D0%90%D1%82%D0%B0%D0%BB%D0%B0%D0%BD%D1%82%D0%B0,2019-10-19,1415766,2019/2020
0,10,0.4,6.0,1.0,2,14.0,9,75,12.0,2.0,79,9,Лечче,16,52,0.0,64.0,271.0,0.0,72,4.0,1.0,35.3,2,6,5,5.0,9,526,24,6.68,15,0.6,19.0,0.0,8,25.0,15,68,13.0,2.0,80,19,Милан,12,57,0.0,46.0,563.0,2.0,87,5.0,0.0,64.7,6,6,10,3.0,13,813,13,6.95,https://ru.whoscored.com/Matches/1415767/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%9C%D0%B8%D0%BB%D0%B0%D0%BD-%D0%9B%D0%B5%D1%87%D1%87%D0%B5,2019-10-20,1415767,2019/2020
0,10,0.31999999999999995,12.0,0.0,8,17.0,8,50,16.0,0.0,76,14,Верона,17,77,0.0,48.0,336.0,1.0,76,4.0,0.0,44.4,6,5,9,8.0,10,576,20,6.43,21,0.68,16.0,0.0,6,13.0,5,45,12.0,2.0,276,16,Наполи,19,70,0.0,62.0,428.0,0.0,80,4.0,0.0,55.6,7,6,8,5.0,7,673,15,7.19,https://ru.whoscored.com/Matches/1415768/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%9D%D0%B0%D0%BF%D0%BE%D0%BB%D0%B8-%D0%92%D0%B5%D1%80%D0%BE%D0%BD%D0%B0,2019-10-19,1415768,2019/2020
0,21,0.53,12.0,0.0,7,43.0,9,82,12.0,1.0,278,13,Дженоа,13,54,0.0,46.0,479.0,0.0,84,5.0,0.0,62.6,5,5,7,5.0,12,739,7,6.07,19,0.47,19.0,0.0,3,10.0,11,69,9.0,5.0,24341,17,Parma Calcio 1913,15,63,0.0,47.0,282.0,0.0,76,4.0,0.0,37.4,6,7,9,3.0,9,535,35,7.42,https://ru.whoscored.com/Matches/1415769/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-Parma-Calcio-1913-%D0%94%D0%B6%D0%B5%D0%BD%D0%BE%D0%B0,2019-10-20,1415769,2019/2020
0,17,0.53,6.0,0.0,9,29.0,10,59,10.0,0.0,84,6,Рома,12,71,0.0,54.0,466.0,1.0,85,5.0,0.0,65.2,2,1,6,3.0,7,720,20,6.63,15,0.47,8.0,1.0,7,21.0,5,45,14.0,0.0,271,10,Сампдория,17,63,0.0,52.0,225.0,0.0,69,3.0,0.0,34.8,3,4,4,2.0,15,466,26,6.7,https://ru.whoscored.com/Matches/1415770/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%A1%D0%B0%D0%BC%D0%BF%D0%B4%D0%BE%D1%80%D0%B8%D1%8F-%D0%A0%D0%BE%D0%BC%D0%B0,2019-10-20,1415770,2019/2020
0,6,0.46,7.0,1.0,7,22.0,9,69,18.0,4.0,75,9,Интер М,22,67,0.0,38.0,347.0,2.0,84,5.0,2.0,45.8,2,7,4,3.0,10,562,22,6.87,7,0.54,7.0,0.0,5,17.0,11,52,14.0,3.0,2889,8,Сассуоло,13,59,0.0,42.0,422.0,1.0,88,6.0,0.0,54.2,3,4,5,5.0,10,641,14,6.56,https://ru.whoscored.com/Matches/1415771/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%A1%D0%B0%D1%81%D1%81%D1%83%D0%BE%D0%BB%D0%BE-%D0%98%D0%BD%D1%82%D0%B5%D1%80-%D0%9C,2019-10-20,1415771,2019/2020
0,21,0.5800000000000001,9.0,0.0,4,17.0,7,44,20.0,0.0,72,8,Торино,15,63,0.0,70.0,429.0,0.0,84,5.0,0.0,61.5,4,3,4,2.0,13,699,19,6.53,15,0.42,15.0,0.0,6,14.0,9,60,15.0,1.0,86,13,Удинезе,20,74,0.0,59.0,251.0,0.0,72,3.0,0.0,38.5,8,4,6,3.0,8,511,21,6.94,https://ru.whoscored.com/Matches/1415772/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%A3%D0%B4%D0%B8%D0%BD%D0%B5%D0%B7%D0%B5-%D0%A2%D0%BE%D1%80%D0%B8%D0%BD%D0%BE,2019-10-20,1415772,2019/2020
0,10,0.62,5.0,0.0,2,5.0,13,87,6.0,1.0,86,4,Удинезе,16,64,0.0,49.0,268.0,2.0,78,4.0,0.0,37.6,2,3,2,2.0,11,495,19,5.82,6,0.38,21.0,0.0,6,13.0,9,53,10.0,7.0,300,16,Аталанта,18,58,0.0,44.0,480.0,1.0,87,5.0,2.0,62.4,3,13,8,1.0,7,696,5,7.5,https://ru.whoscored.com/Matches/1415773/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%90%D1%82%D0%B0%D0%BB%D0%B0%D0%BD%D1%82%D0%B0-%D0%A3%D0%B4%D0%B8%D0%BD%D0%B5%D0%B7%D0%B5,2019-10-27,1415773,2019/2020
